eq_a,eq_b,n,goles,over25,btts,ultimos
Alessandria,Ascoli,2,3.5,1.0,0.5,Ale1-3Asc;Asc3-0Ale
Alessandria,Benevento,2,4.5,0.5,0.5,Ben4-3Ale;Ale2-0Ben
Alessandria,Brescia,2,3.0,0.5,1.0,Ale1-3Bre;Bre1-1Ale
Alessandria,Cittadella,2,2.0,0.5,0.5,Ale0-1Cit;Cit1-2Ale
Alessandria,Como,2,2.0,0.0,0.5,Com2-0Ale;Ale1-1Com
Alessandria,Cosenza,2,2.0,0.5,0.5,Ale1-0Cos;Cos2-1Ale
Alessandria,Cremonese,2,2.0,0.5,0.5,Ale1-0Cre;Cre2-1Ale
Alessandria,Crotone,2,0.5,0.0,0.0,Ale1-0Cro;Cro0-0Ale
Alessandria,Frosinone,2,2.5,0.5,0.5,Ale1-1Fro;Fro3-0Ale
Alessandria,Lecce,2,3.5,0.5,1.0,Lec3-2Ale;Ale1-1Lec
Alessandria,Monza,2,2.0,0.5,0.0,Mon1-0Ale;Ale0-3Mon
Alessandria,Parma,2,3.0,0.5,0.5,Ale0-2Par;Par2-2Ale
Alessandria,Perugia,2,2.5,0.5,1.0,Per1-1Ale;Ale1-2Per
Alessandria,Pisa,2,2.0,0.0,0.5,Pis2-0Ale;Ale1-1Pis
Alessandria,Pordenone,2,2.0,0.0,0.0,Por2-0Ale;Ale2-0Por
Alessandria,Reggina,2,2.0,0.5,0.0,Reg0-4Ale;Ale0-0Reg
Alessandria,Spal,2,4.5,1.0,1.0,Spa2-3Ale;Ale2-2Spa
Alessandria,Ternana,2,2.5,0.5,0.0,Ale0-2Ter;Ter3-0Ale
Alessandria,Vicenza,2,2.0,0.5,0.5,Vic2-1Ale;Ale0-1Vic
Ascoli,Bari,4,2.0,0.25,0.25,Bar0-2Asc;Asc0-1Bar;Bar1-0Asc;Asc2-2Bar
Ascoli,Benevento,5,1.4,0.0,0.2,Asc0-2Ben;Ben0-2Asc;Ben1-1Asc;Asc0-0Ben;Asc1-0Ben
Ascoli,Brescia,6,3.33,0.33,0.83,Bre2-0Asc;Bre1-1Asc;Asc4-3Bre;Bre1-1Asc;Asc1-1Bre
Ascoli,Cagliari,2,4.0,1.0,1.0,Asc2-1Cag;Cag4-1Asc
Ascoli,Catanzaro,2,3.0,0.5,0.5,Asc1-0Cat;Cat3-2Asc
Ascoli,Cittadella,6,0.83,0.17,0.0,Asc0-0Cit;Asc0-0Cit;Cit3-0Asc;Asc0-0Cit;Cit0-0Asc
Ascoli,Como,6,2.33,0.17,0.5,Asc1-1Com;Asc3-3Com;Com1-1Asc;Asc0-1Com;Com0-2Asc
Ascoli,Cosenza,6,2.5,0.5,0.5,Cos1-3Asc;Cos1-3Asc;Asc1-1Cos;Cos3-0Asc;Asc0-1Cos
Ascoli,Cremonese,4,2.5,0.5,0.5,Asc1-4Cre;Cre0-1Asc;Cre2-2Asc;Asc0-0Cre
Ascoli,Crotone,2,3.5,1.0,1.0,Cro2-2Asc;Asc2-1Cro
Ascoli,FeralpiSalo,2,2.0,0.5,0.0,Asc3-0Fer;Fer0-1Asc
Ascoli,Frosinone,4,2.0,0.25,0.5,Fro2-1Asc;Asc1-1Fro;Asc0-1Fro;Fro2-0Asc
Ascoli,Genoa,2,1.5,0.5,0.5,Asc0-0Gen;Gen2-1Asc
Ascoli,Lecce,2,3.0,0.5,1.0,Asc1-1Lec;Lec3-1Asc
Ascoli,Lecco,2,3.5,0.5,0.5,Lec0-2Asc;Asc4-1Lec
Ascoli,Modena,4,1.25,0.25,0.25,Asc1-2Mod;Mod0-1Asc;Mod1-0Asc;Asc0-0Mod
Ascoli,Monza,2,2.0,0.0,0.5,Asc1-1Mon;Mon2-0Asc
Ascoli,Palermo,4,3.25,0.75,0.75,Pal2-3Asc;Asc1-2Pal;Asc0-1Pal;Pal2-2Asc
Ascoli,Parma,6,2.0,0.33,0.5,Par0-1Asc;Asc1-3Par;Par0-1Asc;Asc1-3Par;Par1-1Asc
Ascoli,Perugia,4,2.0,0.25,0.25,Per2-3Asc;Asc0-1Per;Per1-0Asc;Asc1-0Per
Ascoli,Pisa,6,2.17,0.33,0.5,Asc2-0Pis;Pis2-0Asc;Asc2-1Pis;Pis1-0Asc;Asc2-1Pis
Ascoli,Pordenone,2,1.0,0.0,0.0,Por0-1Asc;Asc1-0Por
Ascoli,Reggiana,2,1.0,0.0,0.5,Reg1-1Asc;Asc0-0Reg
Ascoli,Reggina,4,1.75,0.25,0.25,Reg1-2Asc;Asc2-0Reg;Asc0-1Reg;Reg1-0Asc
Ascoli,Sampdoria,2,2.5,0.5,1.0,Asc1-1Sam;Sam2-1Asc
Ascoli,Spal,4,2.0,0.25,0.75,Asc0-1Spa;Spa1-2Asc;Asc1-1Spa;Spa1-1Asc
Ascoli,Spezia,2,3.0,1.0,1.0,Asc1-2Spe;Spe2-1Asc
Ascoli,Sudtirol,4,3.0,0.75,0.75,Sud2-2Asc;Asc1-0Sud;Sud3-1Asc;Asc1-2Sud
Ascoli,Ternana,6,3.0,0.5,0.5,Asc4-1Ter;Asc2-1Ter;Ter1-0Asc;Asc2-0Ter;Ter0-1Asc
Ascoli,Venezia,4,1.75,0.25,0.25,Ven0-2Asc;Asc0-1Ven;Ven3-1Asc;Asc0-0Ven
Ascoli,Vicenza,2,2.5,0.5,0.5,Asc2-1Vic;Vic2-0Asc
Avellino,Bari,2,2.0,0.0,0.5,Bar1-1Ave;Ave2-0Bar
Avellino,Carrarese,2,5.0,1.0,1.0,Car3-4Ave;Ave1-2Car
Avellino,Catanzaro,2,1.5,0.0,0.5,Cat1-0Ave;Ave1-1Cat
Avellino,Cesena,2,3.5,1.0,0.5,Ces3-0Ave;Ave3-1Ces
Avellino,Empoli,2,2.0,0.5,0.0,Ave0-3Emp;Emp1-0Ave
Avellino,Frosinone,2,3.0,0.5,0.5,Fro2-0Ave;Ave1-3Fro
Avellino,Juve Stabia,2,1.0,0.0,0.0,Juv2-0Ave;Ave0-0Juv
Avellino,Mantova,2,1.0,0.0,0.0,Ave0-0Man;Man0-2Ave
Avellino,Modena,3,1.33,0.0,0.33,Mod1-1Ave;Ave1-0Mod;Mod0-1Ave
Avellino,Monza,2,3.0,1.0,1.0,Ave2-1Mon;Mon2-1Ave
Avellino,Padova,2,2.5,0.5,0.5,Pad2-2Ave;Ave1-0Pad
Avellino,Palermo,2,3.0,0.5,0.5,Ave2-2Pal;Pal2-0Ave
Avellino,Pescara,2,1.5,0.0,0.5,Pes1-1Ave;Ave0-1Pes
Avellino,Reggiana,2,4.5,0.5,1.0,Ave4-3Reg;Reg1-1Ave
Avellino,Sampdoria,2,3.0,1.0,1.0,Ave2-1Sam;Sam2-1Ave
Avellino,Spezia,2,2.5,0.5,0.0,Ave0-4Spe;Spe1-0Ave
Avellino,Sudtirol,2,3.0,0.5,0.5,Sud0-1Ave;Ave3-2Sud
Avellino,Venezia,2,3.0,0.5,0.5,Ave1-1Ven;Ven4-0Ave
Avellino,Virtus Entella,2,2.5,0.5,0.5,Ave2-0Vir;Vir1-2Ave
Bari,Benevento,2,2.0,0.0,0.5,Ben1-1Bar;Bar2-0Ben
Bari,Brescia,6,3.5,0.5,0.67,Bre0-2Bar;Bre1-2Bar;Bar2-0Bre;Bre1-1Bar;Bar2-2Bre
Bari,Cagliari,2,1.5,0.0,0.5,Cag0-1Bar;Bar1-1Cag
Bari,Carrarese,4,1.75,0.5,0.25,Bar0-0Car;Car2-1Bar;Car1-0Bar;Bar0-3Car
Bari,Catanzaro,6,3.67,0.67,0.83,Cat2-0Bar;Bar1-1Cat;Cat3-3Bar;Bar1-2Cat;Cat2-3Bar
Bari,Cesena,4,1.75,0.25,0.5,Bar1-0Ces;Ces1-1Bar;Bar1-0Ces;Ces1-2Bar
Bari,Cittadella,6,3.0,0.5,0.83,Bar1-1Cit;Bar1-1Cit;Cit1-1Bar;Bar3-2Cit;Cit3-1Bar
Bari,Como,4,2.75,0.5,1.0,Com1-1Bar;Bar2-2Com;Bar1-1Com;Com2-1Bar
Bari,Cosenza,6,2.0,0.33,0.5,Bar2-1Cos;Bar0-0Cos;Cos4-1Bar;Bar1-1Cos;Cos1-0Bar
Bari,Cremonese,4,2.0,0.25,0.75,Cre0-1Bar;Bar1-2Cre;Cre1-1Bar;Bar1-1Cre
Bari,Empoli,2,4.0,1.0,0.5,Emp5-0Bar;Bar2-1Emp
Bari,FeralpiSalo,2,3.5,0.5,0.5,Fer3-3Bar;Bar1-0Fer
Bari,Frosinone,6,2.5,0.67,0.5,Bar0-0Fro;Fro0-3Bar;Bar2-1Fro;Bar2-3Fro;Fro2-1Bar
Bari,Genoa,2,5.0,1.0,1.0,Bar1-2Gen;Gen4-3Bar
Bari,Juve Stabia,4,2.25,0.5,0.5,Bar1-3Juv;Juv3-1Bar;Juv0-0Bar;Bar0-1Juv
Bari,Lecco,2,2.5,0.5,0.5,Lec1-0Bar;Bar3-1Lec
Bari,Mantova,4,1.75,0.25,0.25,Bar2-0Man;Man0-1Bar;Bar1-0Man;Man2-1Bar
Bari,Modena,8,3.0,0.62,0.88,Mod1-1Bar;Mod2-1Bar;Bar1-2Mod;Mod3-0Bar;Bar3-1Mod
Bari,Monza,2,2.0,0.0,0.5,Bar1-1Mon;Mon2-0Bar
Bari,Padova,2,2.5,0.5,1.0,Bar2-1Pad;Pad1-1Bar
Bari,Palermo,8,1.88,0.38,0.25,Pal3-0Bar;Pal1-0Bar;Bar2-1Pal;Pal2-0Bar;Bar0-3Pal
Bari,Parma,4,3.25,0.75,0.75,Par2-2Bar;Bar4-0Par;Par2-1Bar;Bar1-1Par
Bari,Perugia,2,3.0,0.5,0.5,Per1-3Bar;Bar0-2Per
Bari,Pescara,2,3.0,0.5,0.5,Bar1-1Pes;Pes4-0Bar
Bari,Pisa,6,1.67,0.17,0.5,Pis1-2Bar;Pis1-1Bar;Bar1-1Pis;Pis2-0Bar;Bar1-0Pis
Bari,Reggiana,6,2.83,0.5,0.67,Bar0-2Reg;Bar2-2Reg;Reg0-0Bar;Reg3-1Bar;Bar4-1Reg
Bari,Reggina,2,0.5,0.0,0.0,Reg0-0Bar;Bar1-0Reg
Bari,Salernitana,2,1.0,0.0,0.0,Sal0-2Bar;Bar0-0Sal
Bari,Sampdoria,6,1.5,0.0,0.5,Bar0-1Sam;Sam0-0Bar;Bar1-1Sam;Bar1-1Sam;Sam0-2Bar
Bari,Sassuolo,2,2.0,0.0,1.0,Bar1-1Sas;Sas1-1Bar
Bari,Spal,2,5.5,1.0,1.0,Bar2-2Spa;Spa3-4Bar
Bari,Spezia,6,1.17,0.0,0.33,Bar1-1Spe;Spe0-0Bar;Bar2-0Spe;Spe1-1Bar;Bar0-0Spe
Bari,Sudtirol,8,1.62,0.38,0.38,Sud1-0Bar;Bar0-1Sud;Sud0-0Bar;Sud0-0Bar;Bar1-2Sud
Bari,Ternana,4,1.25,0.25,0.25,Bar0-0Ter;Ter1-0Bar;Ter0-0Bar;Bar3-1Ter
Bari,Venezia,6,2.83,0.83,0.5,Bar1-0Ven;Bar0-3Ven;Ven3-1Bar;Ven2-1Bar;Bar0-3Ven
Bari,Virtus Entella,2,3.0,0.5,0.5,Vir2-2Bar;Bar2-0Vir
Benevento,Brescia,4,1.75,0.25,0.25,Ben0-1Bre;Bre2-2Ben;Bre1-0Ben;Ben1-0Bre
Benevento,Cagliari,2,1.5,0.0,0.0,Ben0-2Cag;Cag1-0Ben
Benevento,Cittadella,4,2.75,0.5,0.5,Ben4-1Cit;Cit0-1Ben;Ben1-0Cit;Cit3-1Ben
Benevento,Como,4,2.5,0.5,0.5,Com1-1Ben;Ben5-0Com;Com2-1Ben;Ben0-0Com
Benevento,Cosenza,4,1.75,0.25,0.25,Ben3-0Cos;Cos1-0Ben;Ben0-1Cos;Cos1-1Ben
Benevento,Cremonese,2,2.0,0.0,1.0,Cre1-1Ben;Ben1-1Cre
Benevento,Crotone,2,3.0,0.5,0.5,Cro0-2Ben;Ben3-1Cro
Benevento,Frosinone,4,2.75,0.5,0.5,Ben1-4Fro;Fro2-0Ben;Ben2-1Fro;Fro1-0Ben
Benevento,Genoa,2,1.5,0.5,0.5,Gen0-0Ben;Ben1-2Gen
Benevento,Lecce,2,1.0,0.0,0.5,Ben0-0Lec;Lec1-1Ben
Benevento,Modena,3,2.67,0.67,1.0,Mod1-1Ben;Ben2-1Mod;Ben1-2Mod
Benevento,Monza,2,3.5,1.0,0.5,Ben3-1Mon;Mon3-0Ben
Benevento,Palermo,2,1.5,0.0,0.5,Ben0-1Pal;Pal1-1Ben
Benevento,Parma,4,1.5,0.25,0.25,Par1-0Ben;Ben0-0Par;Par0-1Ben;Ben2-2Par
Benevento,Perugia,4,2.0,0.25,0.25,Ben0-0Per;Per0-1Ben;Ben0-2Per;Per3-2Ben
Benevento,Pisa,4,2.25,0.25,0.25,Pis1-0Ben;Ben5-1Pis;Ben0-0Pis;Pis2-0Ben
Benevento,Pordenone,2,4.0,1.0,1.0,Ben2-1Por;Por1-4Ben
Benevento,Reggina,4,3.25,0.75,0.5,Ben4-0Reg;Reg0-3Ben;Reg2-2Ben;Ben1-1Reg
Benevento,Spal,4,3.0,0.75,1.0,Spa1-1Ben;Ben1-2Spa;Spa1-2Ben;Ben1-3Spa
Benevento,Sudtirol,3,2.0,0.0,0.67,Sud1-1Ben;Ben0-2Sud;Ben1-1Sud
Benevento,Ternana,4,3.5,0.75,0.75,Ter0-2Ben;Ben1-2Ter;Ben2-3Ter;Ter2-2Ben
Benevento,Venezia,2,2.5,0.5,0.5,Ven0-2Ben;Ben1-2Ven
Benevento,Vicenza,2,3.0,0.5,0.5,Vic2-3Ben;Ben1-0Vic
Brescia,Cagliari,2,2.5,0.5,1.0,Cag2-1Bre;Bre1-1Cag
Brescia,Carrarese,2,1.5,0.5,0.5,Bre0-0Car;Car1-2Bre
Brescia,Catanzaro,4,3.75,0.75,1.0,Cat2-3Bre;Bre1-1Cat;Cat2-1Bre;Bre2-3Cat
Brescia,Cesena,2,2.0,0.0,0.5,Ces2-0Bre;Bre1-1Ces
Brescia,Cittadella,8,1.75,0.12,0.38,Cit0-0Bre;Cit3-2Bre;Bre2-0Cit;Bre0-1Cit;Cit0-1Bre
Brescia,Como,6,2.17,0.17,0.33,Com1-1Bre;Com0-1Bre;Bre0-1Com;Bre2-0Com;Com1-0Bre
Brescia,Cosenza,8,2.75,0.5,0.75,Bre2-1Cos;Bre1-0Cos;Cos1-2Bre;Bre2-3Cos;Cos1-1Bre
Brescia,Cremonese,6,2.5,0.5,0.5,Cre2-1Bre;Bre0-3Cre;Cre1-0Bre;Bre3-2Cre;Cre1-1Bre
Brescia,Crotone,2,2.5,0.5,0.5,Bre2-2Cro;Cro0-1Bre
Brescia,FeralpiSalo,2,3.0,0.5,1.0,Bre1-1Fer;Fer2-2Bre
Brescia,Frosinone,6,3.67,1.0,0.67,Bre2-2Fro;Fro3-0Bre;Bre1-3Fro;Bre4-0Fro;Fro2-1Bre
Brescia,Genoa,2,2.5,0.5,0.5,Gen1-1Bre;Bre0-3Gen
Brescia,Juve Stabia,2,0.0,0.0,0.0,Juv0-0Bre;Bre0-0Juv
Brescia,Lecce,2,2.0,0.0,1.0,Bre1-1Lec;Lec1-1Bre
Brescia,Lecco,2,3.5,0.5,0.5,Lec0-2Bre;Bre4-1Lec
Brescia,Mantova,2,2.5,0.5,1.0,Man1-1Bre;Bre1-2Man
Brescia,Modena,6,3.17,0.67,0.67,Bre0-1Mod;Bre0-1Mod;Mod1-2Bre;Bre3-3Mod;Mod2-2Bre
Brescia,Monza,2,2.0,0.0,0.5,Bre0-2Mon;Mon1-1Bre
Brescia,Palermo,6,2.5,0.33,0.5,Pal2-2Bre;Pal1-0Bre;Bre4-2Pal;Bre1-0Pal;Pal1-0Bre
Brescia,Parma,6,1.83,0.17,0.17,Bre1-0Par;Bre0-2Par;Par2-0Bre;Bre0-2Par;Par2-1Bre
Brescia,Perugia,4,2.75,0.75,0.5,Per1-0Bre;Bre2-1Per;Bre2-1Per;Per4-0Bre
Brescia,Pisa,8,2.25,0.5,0.62,Bre1-1Pis;Pis1-1Bre;Bre3-1Pis;Pis2-1Bre;Bre1-2Pis
Brescia,Pordenone,2,1.5,0.0,0.5,Bre1-0Por;Por1-1Bre
Brescia,Reggiana,4,1.75,0.25,0.5,Reg1-1Bre;Bre0-0Reg;Reg2-0Bre;Bre2-1Reg
Brescia,Reggina,4,2.5,0.5,0.25,Reg0-2Bre;Bre3-0Reg;Bre0-2Reg;Reg1-2Bre
Brescia,Salernitana,2,0.0,0.0,0.0,Sal0-0Bre;Bre0-0Sal
Brescia,Sampdoria,4,2.25,0.25,0.75,Bre3-1Sam;Sam1-1Bre;Sam0-1Bre;Bre1-1Sam
Brescia,Sassuolo,2,4.5,0.5,0.5,Bre2-5Sas;Sas2-0Bre
Brescia,Spal,4,2.5,0.25,0.5,Spa0-2Bre;Bre1-1Spa;Bre2-0Spa;Spa2-2Bre
Brescia,Spezia,4,0.75,0.0,0.25,Spe0-0Bre;Bre0-0Spe;Bre1-1Spe;Spe0-1Bre
Brescia,Sudtirol,6,1.67,0.17,0.5,Sud1-0Bre;Sud1-1Bre;Bre1-1Sud;Sud1-2Bre;Bre0-0Sud
Brescia,Ternana,6,1.0,0.0,0.17,Bre1-1Ter;Ter0-0Bre;Bre1-0Ter;Ter0-1Bre;Bre0-0Ter
Brescia,Venezia,4,1.5,0.0,0.5,Bre1-1Ven;Ven1-1Bre;Bre0-0Ven;Ven2-0Bre
Brescia,Vicenza,2,3.5,0.5,0.5,Vic2-3Bre;Bre2-0Vic
Cagliari,Cittadella,2,1.5,0.5,0.5,Cag2-1Cit;Cit0-0Cag
Cagliari,Como,2,2.0,0.0,0.5,Com1-1Cag;Cag2-0Com
Cagliari,Cosenza,2,1.5,0.0,0.0,Cag2-0Cos;Cos0-1Cag
Cagliari,Frosinone,2,2.0,0.5,0.5,Fro2-2Cag;Cag0-0Fro
Cagliari,Genoa,2,0.0,0.0,0.0,Gen0-0Cag;Cag0-0Gen
Cagliari,Modena,2,1.5,0.0,0.0,Cag1-0Mod;Mod2-0Cag
Cagliari,Palermo,2,3.0,1.0,1.0,Pal2-1Cag;Cag2-1Pal
Cagliari,Parma,2,2.5,0.5,1.0,Cag1-1Par;Par2-1Cag
Cagliari,Perugia,2,5.0,1.0,0.5,Cag3-2Per;Per0-5Cag
Cagliari,Pisa,2,1.0,0.0,0.5,Cag1-1Pis;Pis0-0Cag
Cagliari,Reggina,2,3.0,0.5,0.5,Cag1-1Reg;Reg0-4Cag
Cagliari,Spal,2,2.0,0.5,0.5,Spa1-0Cag;Cag2-1Spa
Cagliari,Sudtirol,2,3.0,0.5,1.0,Sud2-2Cag;Cag1-1Sud
Cagliari,Ternana,2,2.0,0.5,0.5,Ter1-0Cag;Cag2-1Ter
Cagliari,Venezia,2,2.5,0.5,0.5,Cag1-4Ven;Ven0-0Cag
Carrarese,Catanzaro,4,4.0,0.75,1.0,Cat3-1Car;Car2-2Cat;Cat1-1Car;Car3-3Cat
Carrarese,Cesena,4,2.0,0.5,0.5,Ces2-1Car;Car2-0Ces;Ces2-1Car;Car0-0Ces
Carrarese,Cittadella,2,1.5,0.5,0.0,Car3-0Cit;Cit0-0Car
Carrarese,Cosenza,2,1.0,0.0,0.0,Car1-0Cos;Cos1-0Car
Carrarese,Cremonese,2,2.5,0.5,0.5,Cre1-0Car;Car2-2Cre
Carrarese,Empoli,3,2.67,0.67,0.33,Emp2-2Car;Car3-0Emp;Car0-1Emp
Carrarese,Frosinone,4,1.75,0.25,0.0,Fro0-1Car;Car0-1Fro;Car0-2Fro;Fro3-0Car
Carrarese,Juve Stabia,4,2.0,0.5,0.5,Car0-0Juv;Juv2-1Car;Car3-0Juv;Juv1-1Car
Carrarese,Mantova,5,2.0,0.4,0.8,Car1-1Man;Man2-1Car;Car0-0Man;Man1-1Car;Car1-2Man
Carrarese,Modena,4,1.75,0.25,0.25,Mod2-0Car;Car2-1Mod;Car0-0Mod;Mod2-0Car
Carrarese,Monza,2,3.0,0.5,0.5,Mon4-1Car;Car0-1Mon
Carrarese,Padova,2,0.5,0.0,0.0,Car0-0Pad;Pad1-0Car
Carrarese,Palermo,4,2.25,0.25,0.25,Car1-0Pal;Pal1-1Car;Pal5-0Car;Car0-1Pal
Carrarese,Pescara,2,4.0,1.0,1.0,Pes2-2Car;Car2-2Pes
Carrarese,Pisa,2,2.0,0.5,0.5,Car1-0Pis;Pis2-1Car
Carrarese,Reggiana,4,1.5,0.25,0.25,Car0-0Reg;Reg2-2Car;Car0-0Reg;Reg2-0Car
Carrarese,Salernitana,2,5.0,1.0,1.0,Sal4-1Car;Car3-2Sal
Carrarese,Sampdoria,4,2.5,0.25,0.5,Sam1-1Car;Car1-0Sam;Sam3-2Car;Car2-0Sam
Carrarese,Sassuolo,2,2.0,0.0,0.0,Car0-2Sas;Sas2-0Car
Carrarese,Spezia,4,4.0,0.75,0.5,Spe4-2Car;Car0-4Spe;Spe0-2Car;Car3-1Spe
Carrarese,Sudtirol,4,2.0,0.25,0.5,Car2-0Sud;Sud2-2Car;Sud1-1Car;Car0-0Sud
Carrarese,Venezia,2,4.0,1.0,1.0,Car3-2Ven;Ven2-1Car
Carrarese,Virtus Entella,2,3.5,1.0,1.0,Car3-1Vir;Vir2-1Car
Catanzaro,Cesena,4,3.5,0.5,0.5,Ces2-0Cat;Cat4-2Ces;Cat2-0Ces;Ces3-1Cat
Catanzaro,Cittadella,4,1.5,0.25,0.5,Cat1-1Cit;Cit1-2Cat;Cit0-0Cat;Cat1-0Cit
Catanzaro,Como,2,2.0,0.5,0.5,Com1-0Cat;Cat1-2Com
Catanzaro,Cosenza,4,2.5,0.25,0.25,Cat2-0Cos;Cos0-2Cat;Cos1-1Cat;Cat4-0Cos
Catanzaro,Cremonese,4,1.75,0.5,0.25,Cre0-0Cat;Cat0-0Cre;Cat1-2Cre;Cre4-0Cat
Catanzaro,Empoli,2,3.0,0.5,0.5,Emp1-0Cat;Cat3-2Emp
Catanzaro,FeralpiSalo,2,3.0,1.0,0.0,Cat3-0Fer;Fer3-0Cat
Catanzaro,Frosinone,4,2.0,0.25,0.5,Cat0-0Fro;Fro1-1Cat;Fro2-0Cat;Cat2-2Fro
Catanzaro,Juve Stabia,4,2.0,0.25,0.5,Cat0-0Juv;Juv2-0Cat;Cat2-2Juv;Juv1-1Cat
Catanzaro,Lecco,2,7.5,1.0,1.0,Lec3-4Cat;Cat5-3Lec
Catanzaro,Mantova,4,2.5,0.5,0.5,Cat2-2Man;Man0-0Cat;Man1-3Cat;Cat2-0Man
Catanzaro,Modena,6,3.5,1.0,1.0,Mod1-3Cat;Cat2-2Mod;Mod2-1Cat;Mod1-2Cat;Cat2-2Mod
